Entry Location,Entry,Enabled,Category,Description,Publisher,Image Path,Launch String,MD5,SHA-1,SHA-256
"HKLM\System\CurrentControlSet\Services","Eventlog",enabled,"Services","Enables event log messages issued by Windows-based programs and components to be viewed in Event Viewer. This service cannot be stopped.","Microsoft Corporation","c:\windows\system32\services.exe","%SystemRoot%\system32\services.exe",c6ce6eec82f187615d1002bb3bb50ed4,b958912d139cb8dbfeeacdd38ba048c4f452174e,
"HKLM\System\CurrentControlSet\Services","EventSystem",enabled,"Services","Supports System Event Notification Service (SENS), which provides automatic distribution of events to subscribing Component Object Model (COM) components. If the service is stopped, SENS will close and will not be able to provide logon and logoff notifications. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\es.dll","C:\WINDOWS\system32\es.dll",acd36a2dd7d1e9d8a060aa651dc07e63,289be4a9f38d1f87917bcda32aa6f432e5dd70df,
"HKLM\System\CurrentControlSet\Services","FastUserSwitchingCompatibility",enabled,"Services","Provides management for applications that require assistance in a multiple user environment.","Microsoft Corporation","c:\windows\system32\shsvcs.dll","%SystemRoot%\System32\shsvcs.dll",e7518dc542d3ebdcb80edd98462c7821,6dec6796289066fc1ba827dabef1cc3286660f3a,
"HKLM\System\CurrentControlSet\Services","helpsvc",enabled,"Services","Enables Help and Support Center to run on this computer. If this service is stopped, Help and Support Center will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\pchealth\helpctr\binaries\pchsvc.dll","%WINDIR%\PCHealth\HelpCtr\Binaries\pchsvc.dll",8827911a8c37e40c027cbfc88e69d967,e36321c1fd4db447327618d59771c896ceddf135,
"HKLM\System\CurrentControlSet\Services","HTTPFilter",enabled,"Services","This service implements the secure hypertext transfer protocol (HTTPS) for the HTTP service,  using the Secure Socket Layer (SSL).  If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\w3ssl.dll","%SystemRoot%\System32\w3ssl.dll",064d8581adf77c25133e7d751d917d83,5bb698f7140f530a1c08439f7c40002127def262,
"HKLM\System\CurrentControlSet\Services","Ias",enabled,"Services","","","c:\windows\system32\recyle64.dll","C:\WINDOWS\System32\recyle64.dll",790afa7aa0cec218f8b2c5a25273a2e4,d03cda962d32e9872b9f7a444508645132e234ac,
"HKLM\System\CurrentControlSet\Services","ImapiService",enabled,"Services","Manages CD recording using Image Mastering Applications Programming Interface (IMAPI). If this service is stopped, this computer will be unable to record CDs. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\imapi.exe","C:\WINDOWS\system32\imapi.exe",fa788520bcac0f5d9d5cde5615c0d931,a4ac239c76471e82799d0875740368bd1b81027f,
"HKLM\System\CurrentControlSet\Services","lanmanserver",enabled,"Services","Supports file, print, and named-pipe sharing over the network for this computer. If this service is stopped, these functions will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\srvsvc.dll","%SystemRoot%\System32\srvsvc.dll",93d32468d34e000cb3407947d1d6e22a,c6709436c6c347bafb9eee9b8daa287140c2368f,
"HKLM\System\CurrentControlSet\Services","lanmanworkstation",enabled,"Services","Creates and maintains client network connections to remote servers. If this service is stopped, these connections will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\wkssvc.dll","%SystemRoot%\System32\wkssvc.dll",2c0a7b2ae9c26f2c163627679b42783c,80265afb98b4a647d25e1fd755e450f4139ded64,
"HKLM\System\CurrentControlSet\Services","LmHosts",enabled,"Services","Enables support for NetBIOS over TCP/IP (NetBT) service and NetBIOS name resolution.","Microsoft Corporation","c:\windows\system32\lmhsvc.dll","%SystemRoot%\System32\lmhsvc.dll",b3eff6d938c572e90a07b3d87a3c7657,dc7d28e829098aed4703f0dc6f3ade3ca8a8a8a2,
"HKLM\System\CurrentControlSet\Services","mnmsrvc",enabled,"Services","Enables an authorized user to access this computer remotely by using NetMeeting over a corporate intranet. If this service is stopped, remote desktop sharing will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\mnmsrvc.exe","C:\WINDOWS\system32\mnmsrvc.exe",f6415361201915b9fe3896b0e4e724ff,405115f47f27897f5fcfc8a610ed9650255e51f1,
"HKLM\System\CurrentControlSet\Services","MSDTC",enabled,"Services","Coordinates transactions that span multiple resource managers, such as databases, message queues, and file systems. If this service is stopped, these transactions will not occur. If this service is disabled, any services that explicitly depend on it will fail to start. ","Microsoft Corporation","c:\windows\system32\msdtc.exe","C:\WINDOWS\system32\msdtc.exe",c7c3d89eb0a6f3dba622ea737fa335b1,c48fcb01484b3cb369779678ff07a28221ff036e,
"HKLM\System\CurrentControlSet\Services","MSIServer",enabled,"Services","Adds, modifies, and removes applications provided as a Windows Installer (*.msi) package. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\msiexec.exe","C:\WINDOWS\system32\msiexec.exe /V",4236ae241f193f58adab141ceccfd5f4,a3f6b9b740f31f0f85e4c59dd05998a5e59c9374,
"HKLM\System\CurrentControlSet\Services","Netlogon",enabled,"Services","Supports pass-through authentication of account logon events for computers in a domain.","Microsoft Corporation","c:\windows\system32\lsass.exe","%SystemRoot%\system32\lsass.exe",84885f9b82f4d55c6146ebf6065d75d2,6473b34c05bc63eb0d66cad83355e6938cbe97e9,
"HKLM\System\CurrentControlSet\Services","Netman",enabled,"Services","Manages objects in the Network and Dial-Up Connections folder, in which you can view both local area network and remote connections.","Microsoft Corporation","c:\windows\system32\netman.dll","%SystemRoot%\System32\netman.dll",dab9e6c7105d2ef49876fe92c524f565,f9d378209e5e89fd4e8c9ea7eb7934ec9bc9b753,
"HKLM\System\CurrentControlSet\Services","Nla",enabled,"Services","Collects and stores network configuration and location information, and notifies applications when this information changes.","Microsoft Corporation","c:\windows\system32\mswsock.dll","%SystemRoot%\System32\mswsock.dll",4e74af063c3271fbea20dd940cfd1184,f4d8d9b3492e0fb5ebeeb30f1fab75340bb09edb,
"HKLM\System\CurrentControlSet\Services","NtLmSsp",enabled,"Services","Provides security to remote procedure call (RPC) programs that use transports other than named pipes.","Microsoft Corporation","c:\windows\system32\lsass.exe","%SystemRoot%\system32\lsass.exe",84885f9b82f4d55c6146ebf6065d75d2,6473b34c05bc63eb0d66cad83355e6938cbe97e9,
"HKLM\System\CurrentControlSet\Services","NtmsSvc",enabled,"Services","Removable Storage Manager","Microsoft Corporation","c:\windows\system32\ntmssvc.dll","%SystemRoot%\system32\ntmssvc.dll",b62f29c00ac55a761b2e45877d85ea0f,defac7e1b55662978c5b3a10eec5ad05334d8e31,
"HKLM\System\CurrentControlSet\Services","PlugPlay",enabled,"Services","Enables a computer to recognize and adapt to hardware changes with little or no user input. Stopping or disabling this service will result in system instability.","Microsoft Corporation","c:\windows\system32\services.exe","%SystemRoot%\system32\services.exe",c6ce6eec82f187615d1002bb3bb50ed4,b958912d139cb8dbfeeacdd38ba048c4f452174e,
"HKLM\System\CurrentControlSet\Services","ProtectedStorage",enabled,"Services","Provides protected storage for sensitive data, such as private keys, to prevent access by unauthorized services, processes, or users.","Microsoft Corporation","c:\windows\system32\lsass.exe","%SystemRoot%\system32\lsass.exe",84885f9b82f4d55c6146ebf6065d75d2,6473b34c05bc63eb0d66cad83355e6938cbe97e9,
"HKLM\System\CurrentControlSet\Services","Rasauto",enabled,"Services","Creates a connection to a remote network whenever a program references a remote DNS or NetBIOS name or address.","","c:\windows\system32\rasauto16.dll","%SystemRoot%\System32\Rasauto16.dll",110ea9072e246cfa712cf2f65c4c91d7,3e1989361d6ec6c9e34f6ec7dc9c9b34168d5dcf,
"HKLM\System\CurrentControlSet\Services","RasMan",enabled,"Services","Creates a network connection.","Microsoft Corporation","c:\windows\system32\rasmans.dll","%SystemRoot%\System32\rasmans.dll",41a3c11e3517c962c9b44893bcec3b34,ad2b313ad4b514899d51210f7185cbac24b6a7f7,
"HKLM\System\CurrentControlSet\Services","RDSessMgr",enabled,"Services","Manages and controls Remote Assistance. If this service is stopped, Remote Assistance will be unavailable. Before stopping this service, see the Dependencies tab of the Properties dialog box.","Microsoft Corporation","c:\windows\system32\sessmgr.exe","C:\WINDOWS\system32\sessmgr.exe",729798e0933076b8fcfcd9934698f164,e37a40d53c6ff64d7c5b9f1280af2e6ef52345e3,
"HKLM\System\CurrentControlSet\Services","RemoteRegistry",enabled,"Services","Enables remote users to modify registry settings on this computer. If this service is stopped, the registry can be modified only by users on this computer. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\regsvc.dll","%SystemRoot%\system32\regsvc.dll",3151427db7d87107d1c5be58fac53960,c9ab66c2154ba77d7631274505281a2deb9539f2,
"HKLM\System\CurrentControlSet\Services","rpcapd",enabled,"Services","Allows to capture traffic on this machine from a remote machine.","CACE Technologies, Inc.","c:\program files\winpcap\rpcapd.exe","""%ProgramFiles%\WinPcap\rpcapd.exe"" -d -f ""%ProgramFiles%\WinPcap\rpcapd.ini""",b60f58f175de20a6739194e85b035178,1568c3bb5a8e7fd530ac1996a137fd22e117a707,
"HKLM\System\CurrentControlSet\Services","RpcLocator",enabled,"Services","Manages the RPC name service database.","Microsoft Corporation","c:\windows\system32\locator.exe","%SystemRoot%\system32\locator.exe",793f04a09b15e7c6c11dbdffaf06c0ab,af52bf4d1ff3c6a24db9dee3548aaadb3d6c611f,
"HKLM\System\CurrentControlSet\Services","RpcSs",enabled,"Services","Provides the endpoint mapper and other miscellaneous RPC services.","Microsoft Corporation","c:\windows\system32\rpcss.dll","%SystemRoot%\system32\rpcss.dll",5c83a4408604f737717ab96371201680,5147cd907ad30286c4c6b698c68c874a439b04c2,
"HKLM\System\CurrentControlSet\Services","RSVP",enabled,"Services","Provides network signaling and local traffic control setup functionality for QoS-aware programs and control applets.","Microsoft Corporation","c:\windows\system32\rsvp.exe","%SystemRoot%\system32\rsvp.exe",471b3f9741d762abe75e9deea4787e47,f3afa282797985c7ad0e48d6d236be2ef93fd4b9,
"HKLM\System\CurrentControlSet\Services","SamSs",enabled,"Services","Stores security information for local user accounts.","Microsoft Corporation","c:\windows\system32\lsass.exe","%SystemRoot%\system32\lsass.exe",84885f9b82f4d55c6146ebf6065d75d2,6473b34c05bc63eb0d66cad83355e6938cbe97e9,
"HKLM\System\CurrentControlSet\Services","SCardSvr",enabled,"Services","Manages access to smart cards read by this computer. If this service is stopped, this computer will be unable to read smart cards. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\scardsvr.exe","%SystemRoot%\System32\SCardSvr.exe",25d8de134df108e3dbc8d7d23b1aa58e,d26d940084225cfc39ddf711787932bd4389b0a6,
