Entry Location,Entry,Enabled,Category,Description,Publisher,Image Path,Launch String,MD5,SHA-1,SHA-256
"HKLM\System\CurrentControlSet\Services","W32Time",enabled,"Services","Maintains date and time synchronization on all clients and servers in the network. If this service is stopped, date and time synchronization will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\w32time.dll","C:\WINDOWS\system32\w32time.dll",2b281958f5d0cf99ed626e3ef39d5c8d,7bec75c18158b27f3e1a4e0627b4b7eb7fbd5cbb,
"HKLM\System\CurrentControlSet\Services","WebClient",enabled,"Services","Enables Windows-based programs to create, access, and modify Internet-based files. If this service is stopped, these functions will not be available. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\webclnt.dll","%SystemRoot%\System32\webclnt.dll",5d0a442864bfbf3b19dcca4cd29f6e99,02b160116941c2b72f2615c8135c5c93ad55100c,
"HKLM\System\CurrentControlSet\Services","winmgmt",enabled,"Services","Provides a common interface and object model to access management information about operating system, devices, applications and services. If this service is stopped, most Windows-based software will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\wbem\wmisvc.dll","%SystemRoot%\system32\wbem\WMIsvc.dll",f399242a80c4066fd155efa4cf96658e,e9fde3ee2c3eb16570f70e93b2428e17702d9cc2,
"HKLM\System\CurrentControlSet\Services","WmdmPmSN",enabled,"Services","Retrieves the serial number of any portable media player connected to this computer. If this service is stopped, protected content might not be down loaded to the device.","Microsoft Corporation","c:\windows\system32\mspmsnsv.dll","C:\WINDOWS\system32\mspmsnsv.dll",c086483e3dba8c1c0a687ec8d5b3d4c1,20963bffc9bc511a2bf7f17fe6cd2fe3e8d984fa,
"HKLM\System\CurrentControlSet\Services","Wmi",enabled,"Services","Provides systems management information to and from drivers.","Microsoft Corporation","c:\windows\system32\advapi32.dll","%SystemRoot%\System32\advapi32.dll",1aff244ca134956c54474f4e2433e4ce,bada2e56bf23113bd7fa62fe2f159b514b66f02b,
"HKLM\System\CurrentControlSet\Services","WmiApSrv",enabled,"Services","Provides performance library information from WMI HiPerf providers.","Microsoft Corporation","c:\windows\system32\wbem\wmiapsrv.exe","C:\WINDOWS\system32\wbem\wmiapsrv.exe",ba8cecc3e813e1f7c441b20393d4f86c,0fc499321746438044863c6f79c03169c5b238a3,
"HKLM\System\CurrentControlSet\Services","wscsvc",enabled,"Services","Monitors system security settings and configurations.","Microsoft Corporation","c:\windows\system32\wscsvc.dll","%SYSTEMROOT%\system32\wscsvc.dll",4d59daa66c60858cdf4f67a900f42d4a,8b69dcd36526aa4f0d07c76da1b44e53981b6aaa,
"HKLM\System\CurrentControlSet\Services","wuauserv",enabled,"Services","Enables the download and installation of Windows updates. If this service is disabled, this computer will not be able to use the Automatic Updates feature or the Windows Update Web site.","Microsoft Corporation","c:\windows\system32\wuauserv.dll","C:\WINDOWS\system32\wuauserv.dll",13d72740963cba12d9ff76a7f218bcd8,4eec3aa371324c8f60591e1837bebf3cebc54146,
"HKLM\System\CurrentControlSet\Services","WZCSVC",enabled,"Services","Provides automatic configuration for the 802.11 adapters","Microsoft Corporation","c:\windows\system32\wzcsvc.dll","%SystemRoot%\System32\wzcsvc.dll",5a91e6feab9f901302fa7ff768c0120f,d36500f6d211e9280541f7a7b60de02ea015745b,
"HKLM\System\CurrentControlSet\Services","xmlprov",enabled,"Services","Manages XML configuration files on a domain basis for automatic network provisioning.","Microsoft Corporation","c:\windows\system32\xmlprov.dll","%SystemRoot%\System32\xmlprov.dll",eef46dab68229a14da3d8e73c99e2959,82de19bf2a5c673f28e6c135fb2f1e7e8b4e3319,
"HKLM\System\CurrentControlSet\Services","ACPI",enabled,"Drivers","ACPI Driver for NT","Microsoft Corporation","c:\windows\system32\drivers\acpi.sys","system32\DRIVERS\ACPI.sys",a10c7534f7223f4a73a948967d00e69b,7a5e460607c236cec5a142586be3f48e13b796c0,
"HKLM\System\CurrentControlSet\Services","AFD",enabled,"Drivers","AFD Networking Support Environment","Microsoft Corporation","c:\windows\system32\drivers\afd.sys","\SystemRoot\System32\drivers\afd.sys",5ac495f4cb807b2b98ad2ad591e6d92e,f13a5be8a9185d9c22a8b6363114da5dda5b18d5,
"HKLM\System\CurrentControlSet\Services","agp440",enabled,"Drivers","440 NT AGP Filter","Microsoft Corporation","c:\windows\system32\drivers\agp440.sys","system32\DRIVERS\agp440.sys",2c428fa0c3e3a01ed93c9b2a27d8d4bb,4102b86336950f4b108fd32d8b43fd0a9cfdb1fd,
"HKLM\System\CurrentControlSet\Services","AsyncMac",enabled,"Drivers","RAS Asynchronous Media Driver","Microsoft Corporation","c:\windows\system32\drivers\asyncmac.sys","system32\DRIVERS\asyncmac.sys",02000abf34af4c218c35d257024807d6,4bd208abcab95b6e14e966eab395bcde461b839e,
"HKLM\System\CurrentControlSet\Services","atapi",enabled,"Drivers","IDE/ATAPI Port Driver","Microsoft Corporation","c:\windows\system32\drivers\atapi.sys","system32\DRIVERS\atapi.sys",cdfe4411a69c224bd1d11b2da92dac51,a42fbfeb5a4d94118b483d7f18113aa8c329a052,
"HKLM\System\CurrentControlSet\Services","Atmarpc",enabled,"Drivers","ATM ARP Client Protocol","Microsoft Corporation","c:\windows\system32\drivers\atmarpc.sys","system32\DRIVERS\atmarpc.sys",ec88da854ab7d7752ec8be11a741bb7f,6df1aa383ba018086a5b15e551003995a44d7696,
"HKLM\System\CurrentControlSet\Services","audstub",enabled,"Drivers","AudStub Driver","Microsoft Corporation","c:\windows\system32\drivers\audstub.sys","system32\DRIVERS\audstub.sys",d9f724aa26c010a217c97606b160ed68,e07ee000bc06b455534d8a517305c1208d30306b,
"HKLM\System\CurrentControlSet\Services","Beep",enabled,"Drivers","BEEP Driver","Microsoft Corporation","c:\windows\system32\drivers\beep.sys","Beep",da1f27d85e0d1525f6621372e7b685e9,e3d2dc5eb273fa701de8af13b60d6baac7629260,
"HKLM\System\CurrentControlSet\Services","Cdaudio",enabled,"Drivers","CD-ROM Audio Filter Driver","Microsoft Corporation","c:\windows\system32\drivers\cdaudio.sys","Cdaudio",c1b486a7658353d33a10cc15211a873b,76094c8e69f435e218a751ec6bde89f3d861f477,
"HKLM\System\CurrentControlSet\Services","Cdrom",enabled,"Drivers","SCSI CD-ROM Driver","Microsoft Corporation","c:\windows\system32\drivers\cdrom.sys","system32\DRIVERS\cdrom.sys",af9c19b3100fe010496b1a27181fbf72,d65c9ca8e0dc335c14b416c59f7f9c6e0cd9b161,
"HKLM\System\CurrentControlSet\Services","Changer",enabled,"Drivers","","","File not found: C:\WINDOWS\System32\Drivers\Changer.sys","Changer",,,
"HKLM\System\CurrentControlSet\Services","CmBatt",enabled,"Drivers","Control Method Battery Driver","Microsoft Corporation","c:\windows\system32\drivers\cmbatt.sys","system32\DRIVERS\CmBatt.sys",4266be808f85826aedf3c64c1e240203,b98706641ed5c1b7bcb53ba4b3b280971b8c543c,
"HKLM\System\CurrentControlSet\Services","Compbatt",enabled,"Drivers","Composite Battery Driver","Microsoft Corporation","c:\windows\system32\drivers\compbatt.sys","system32\DRIVERS\compbatt.sys",df1b1a24bf52d0ebc01ed4ece8979f50,8fd882f496712d85b4cb3f5cb08c1e742c82a8df,
"HKLM\System\CurrentControlSet\Services","Disk",enabled,"Drivers","PnP Disk Driver","Microsoft Corporation","c:\windows\system32\drivers\disk.sys","system32\DRIVERS\disk.sys",00ca44e4534865f8a3b64f7c0984bff0,2f80b250cfe794144d4802ca0beb45582b2bd242,
"HKLM\System\CurrentControlSet\Services","dmio",enabled,"Drivers","NT Disk Manager I/O Driver","Microsoft Corp., Veritas Software","c:\windows\system32\drivers\dmio.sys","System32\drivers\dmio.sys",f5e7b358a732d09f4bcf2824b88b9e28,356ab9e531870653baf602a46395133034293c87,
"HKLM\System\CurrentControlSet\Services","dmload",enabled,"Drivers","NT Disk Manager Startup Driver","Microsoft Corp., Veritas Software.","c:\windows\system32\drivers\dmload.sys","System32\drivers\dmload.sys",e9317282a63ca4d188c0df5e09c6ac5f,a768077067db3de64b1ceb98ec2da42b7f184eba,
"HKLM\System\CurrentControlSet\Services","Fdc",enabled,"Drivers","Floppy Disk Controller Driver","Microsoft Corporation","c:\windows\system32\drivers\fdc.sys","system32\DRIVERS\fdc.sys",ced2e8396a8838e59d8fd529c680e02c,357744db5063cbc3629c244330f2d2b16884e970,
"HKLM\System\CurrentControlSet\Services","Fips",enabled,"Drivers","FIPS Crypto Driver","Microsoft Corporation","c:\windows\system32\drivers\fips.sys","Fips",e153ab8a11de5452bcf5ac7652dbf3ed,c2195f139e7e3b00e3d1889bc4fe42399eb7f019,
"HKLM\System\CurrentControlSet\Services","Flpydisk",enabled,"Drivers","Floppy Driver","Microsoft Corporation","c:\windows\system32\drivers\flpydisk.sys","system32\DRIVERS\flpydisk.sys",0dd1de43115b93f4d85e889d7a86f548,ae51fda08fe56859223d6051a1b1df1231ed22a0,
"HKLM\System\CurrentControlSet\Services","FltMgr",enabled,"Drivers","File System Filter Manager Driver","Microsoft Corporation","c:\windows\system32\drivers\fltmgr.sys","system32\DRIVERS\fltMgr.sys",157754f0df355a9e0a6f54721914f9c6,5c0119475ef8c38a7da3fe39741ec0916fc41e55,
"HKLM\System\CurrentControlSet\Services","Ftdisk",enabled,"Drivers","FT Disk Driver","Microsoft Corporation","c:\windows\system32\drivers\ftdisk.sys","system32\DRIVERS\ftdisk.sys",6ac26732762483366c3969c9e4d2259d,12b8db7b23bf05c46bce7640b0714bf682b7c2a4,
"HKLM\System\CurrentControlSet\Services","Gpc",enabled,"Drivers","Generic Packet Classifier","Microsoft Corporation","c:\windows\system32\drivers\msgpc.sys","system32\DRIVERS\msgpc.sys",c0f1d4a21de5a415df8170616703debf,5e2d1ce0e40546959e695ce85a0062dd4b53013c,
"HKLM\System\CurrentControlSet\Services","HTTP",enabled,"Drivers","This service implements the hypertext transfer protocol (HTTP). If this service is disabled, any services that explicitly depend on it will fail to start.","Microsoft Corporation","c:\windows\system32\drivers\http.sys","System32\Drivers\HTTP.sys",c19b522a9ae0bbc3293397f3055e80a1,b805d0ab3400eb0a84cf0eb6ff952f6dcb2bcb73,
"HKLM\System\CurrentControlSet\Services","i2omgmt",enabled,"Drivers","","","File not found: C:\WINDOWS\System32\Drivers\i2omgmt.sys","i2omgmt",,,
"HKLM\System\CurrentControlSet\Services","i8042prt",enabled,"Drivers","i8042 Port Driver","Microsoft Corporation","c:\windows\system32\drivers\i8042prt.sys","system32\DRIVERS\i8042prt.sys",5502b58eef7486ee6f93f3f164dcb808,4021843cefb217b9bbb3147d549bf8970bfa9290,
"HKLM\System\CurrentControlSet\Services","Imapi",enabled,"Drivers","IMAPI Kernel Driver","Microsoft Corporation","c:\windows\system32\drivers\imapi.sys","system32\DRIVERS\imapi.sys",f8aa320c6a0409c0380e5d8a99d76ec6,6a3ae8a3711161216c136ba6b925cfe96dd15879,
"HKLM\System\CurrentControlSet\Services","IntelIde",enabled,"Drivers","Intel PCI IDE Driver","Microsoft Corporation","c:\windows\system32\drivers\intelide.sys","system32\DRIVERS\intelide.sys",2d722b2b54ab55b2fa475eb58d7b2aad,1b11bab0a161eded14444e653724204abbd52cf4,
"HKLM\System\CurrentControlSet\Services","intelppm",enabled,"Drivers","Processor Device Driver","Microsoft Corporation","c:\windows\system32\drivers\intelppm.sys","system32\DRIVERS\intelppm.sys",279fb78702454dff2bb445f238c048d2,e1364d30871c8f531a71dca8f3d42402ff1109dd,
"HKLM\System\CurrentControlSet\Services","Ip6Fw",enabled,"Drivers","Provides intrusion prevention service for a home or small office network.","Microsoft Corporation","c:\windows\system32\drivers\ip6fw.sys","system32\DRIVERS\Ip6Fw.sys",4448006b6bc60e6c027932cfc38d6855,677304e575660642bced544266126131ff6ed75f,
"HKLM\System\CurrentControlSet\Services","IpFilterDriver",enabled,"Drivers","IP Traffic Filter Driver","Microsoft Corporation","c:\windows\system32\drivers\ipfltdrv.sys","system32\DRIVERS\ipfltdrv.sys",731f22ba402ee4b62748adaf6363c182,77253ef369a95e2cb3bf5531d963260a9c2e7857,
"HKLM\System\CurrentControlSet\Services","IpInIp",enabled,"Drivers","IP in IP Tunnel Driver","Microsoft Corporation","c:\windows\system32\drivers\ipinip.sys","system32\DRIVERS\ipinip.sys",e1ec7f5da720b640cd8fb8424f1b14bb,711e3984e7a61ffef837b50a48b91f0d9fb4b6b9,
"HKLM\System\CurrentControlSet\Services","IpNat",enabled,"Drivers","IP Network Address Translator","Microsoft Corporation","c:\windows\system32\drivers\ipnat.sys","system32\DRIVERS\ipnat.sys",b5a8e215ac29d24d60b4d1250ef05ace,36ddf23a85eaddd5bcf6cc8df8ea930b936a2489,
"HKLM\System\CurrentControlSet\Services","IPSec",enabled,"Drivers","IPSEC driver","Microsoft Corporation","c:\windows\system32\drivers\ipsec.sys","system32\DRIVERS\ipsec.sys",64537aa5c003a6afeee1df819062d0d1,58772669b9ff69fa48ea77af5c4268cdb0ee1f67,
"HKLM\System\CurrentControlSet\Services","IRENUM",enabled,"Drivers","Infra-Red Bus Enumerator","Microsoft Corporation","c:\windows\system32\drivers\irenum.sys","system32\DRIVERS\irenum.sys",50708daa1b1cbb7d6ac1cf8f56a24410,c62c3f441d1c120beab0f620609d037536ec320d,
"HKLM\System\CurrentControlSet\Services","isapnp",enabled,"Drivers","PNP ISA Bus Driver","Microsoft Corporation","c:\windows\system32\drivers\isapnp.sys","system32\DRIVERS\isapnp.sys",e504f706ccb699c2596e9a3da1596e87,a0a464e210d6d71c988de52c8bc700475840808e,
"HKLM\System\CurrentControlSet\Services","Kbdclass",enabled,"Drivers","Keyboard Class Driver","Microsoft Corporation","c:\windows\system32\drivers\kbdclass.sys","system32\DRIVERS\kbdclass.sys",ebdee8a2ee5393890a1acee971c4c246,9f1cdb27a5c66c13f095e3ae9801813a8dcb9e2d,
"HKLM\System\CurrentControlSet\Services","KSecDD",enabled,"Drivers","Kernel Security Support Provider Interface","Microsoft Corporation","c:\windows\system32\drivers\ksecdd.sys","KSecDD",eb7ffe87fd367ea8fca0506f74a87fbb,f15c171c0d200d4e0093c2cdb26ac176a390e63a,
"HKLM\System\CurrentControlSet\Services","lbrtfdc",enabled,"Drivers","","","File not found: C:\WINDOWS\System32\Drivers\lbrtfdc.sys","lbrtfdc",,,
"HKLM\System\CurrentControlSet\Services","mnmdd",enabled,"Drivers","Frame buffer simulator","Microsoft Corporation","c:\windows\system32\drivers\mnmdd.sys","mnmdd",4ae068242760a1fb6e1a44bf4e16afa6,932f7b2dcd9d42bfaa0f61b586628663bc3d0504,
"HKLM\System\CurrentControlSet\Services","Modem",enabled,"Drivers","Modem Device Driver","Microsoft Corporation","c:\windows\system32\drivers\modem.sys","Modem",6fc6f9d7acc36dca9b914565a3aeda05,f297324ee5bd6109cdb08631e3b9948d9cca9c79,
"HKLM\System\CurrentControlSet\Services","Mouclass",enabled,"Drivers","Mouse Class Driver","Microsoft Corporation","c:\windows\system32\drivers\mouclass.sys","system32\DRIVERS\mouclass.sys",34e1f0031153e491910e12551400192c,5b3b425c9b4686fcae88c63414336ffe87d51761,
"HKLM\System\CurrentControlSet\Services","MountMgr",enabled,"Drivers","Mount Manager","Microsoft Corporation","c:\windows\system32\drivers\mountmgr.sys","MountMgr",65653f3b4477f3c63e68a9659f85ee2e,e3e531d2e2cb3017bf09092e5d1e3173025bb728,
"HKLM\System\CurrentControlSet\Services","MRxDAV",enabled,"Drivers","WebDav Client Redirector","Microsoft Corporation","c:\windows\system32\drivers\mrxdav.sys","system32\DRIVERS\mrxdav.sys",46edcc8f2db2f322c24f48785cb46366,de05fbb5beb01f90dd03cd7ba91e4696fe9cd42c,
"HKLM\System\CurrentControlSet\Services","MRxSmb",enabled,"Drivers","MRXSMB","Microsoft Corporation","c:\windows\system32\drivers\mrxsmb.sys","system32\DRIVERS\mrxsmb.sys",1fd607fc67f7f7c633c3da65bfc53d18,8ce7609d62a62f7a68a2db26e46c373bf9d5fece,
"HKLM\System\CurrentControlSet\Services","Msfs",enabled,"Drivers","Mailslot driver","Microsoft Corporation","c:\windows\system32\drivers\msfs.sys","Msfs",561b3a4333ca2dbdba28b5b956822519,7a4ce956bfe7e9b29dfa9572a01de8ec22ee00d6,
"HKLM\System\CurrentControlSet\Services","mssmbios",enabled,"Drivers","System Management BIOS Driver","Microsoft Corporation","c:\windows\system32\drivers\mssmbios.sys","system32\DRIVERS\mssmbios.sys",469541f8bfd2b32659d5d463a6714bce,7dd23176c6a01a2ab35c3b97c5e10e8ad8c601ac,
"HKLM\System\CurrentControlSet\Services","Mup",enabled,"Drivers","Multiple UNC Provider driver","Microsoft Corporation","c:\windows\system32\drivers\mup.sys","Mup",82035e0f41c2dd05ae41d27fe6cf7de1,ced59a4e7bf3bc5f2d02ea731a3af4c1f70b6840,
"HKLM\System\CurrentControlSet\Services","NDIS",enabled,"Drivers","NDIS 5.1 wrapper driver","Microsoft Corporation","c:\windows\system32\drivers\ndis.sys","NDIS",558635d3af1c7546d26067d5d9b6959e,de08d6d587fe19ce3c61a1cf3773158df212dbe8,
"HKLM\System\CurrentControlSet\Services","NdisTapi",enabled,"Drivers","Remote Access NDIS TAPI Driver","Microsoft Corporation","c:\windows\system32\drivers\ndistapi.sys","system32\DRIVERS\ndistapi.sys",08d43bbdacdf23f34d79e44ed35c1b4c,1a8d79cf59c7b2697202b34f5a8efbaed9997ed6,
"HKLM\System\CurrentControlSet\Services","Ndisuio",enabled,"Drivers","NDIS Usermode I/O Protocol","Microsoft Corporation","c:\windows\system32\drivers\ndisuio.sys","system32\DRIVERS\ndisuio.sys",34d6cd56409da9a7ed573e1c90a308bf,0224df969ff7f27961cf5482dd7f34fccf239915,
"HKLM\System\CurrentControlSet\Services","NdisWan",enabled,"Drivers","Remote Access NDIS WAN Driver","Microsoft Corporation","c:\windows\system32\drivers\ndiswan.sys","system32\DRIVERS\ndiswan.sys",0b90e255a9490166ab368cd55a529893,a12e8167d6a927ec3c1266d8624e66134f1021cd,
"HKLM\System\CurrentControlSet\Services","NDProxy",enabled,"Drivers","NDIS Proxy","Microsoft Corporation","c:\windows\system32\drivers\ndproxy.sys","NDProxy",59fc3fb44d2669bc144fd87826bb571f,69d2ef1146b97ec4c95daf7d785e743b4b1e5b8b,
"HKLM\System\CurrentControlSet\Services","NetBIOS",enabled,"Drivers","NetBIOS Interface","Microsoft Corporation","c:\windows\system32\drivers\netbios.sys","system32\DRIVERS\netbios.sys",3a2aca8fc1d7786902ca434998d7ceb4,abc50cf1fb62054a9b5ec427226b36a77c4bf980,
"HKLM\System\CurrentControlSet\Services","NetBT",enabled,"Drivers","NetBios over Tcpip","Microsoft Corporation","c:\windows\system32\drivers\netbt.sys","system32\DRIVERS\netbt.sys",0c80e410cd2f47134407ee7dd19cc86b,fc94040533c8e2bba6f4a5bff8a97294cc5e4c06,
"HKLM\System\CurrentControlSet\Services","NPF",enabled,"Drivers","npf.sys (NT5/6 x86) Kernel Driver","CACE Technologies, Inc.","c:\windows\system32\drivers\npf.sys","system32\drivers\npf.sys",b48dc6abcd3aeff8618350ccbdc6b09a,34fb3bb374d7b99f936c1968e135f9ef86b425e2,
"HKLM\System\CurrentControlSet\Services","Npfs",enabled,"Drivers","NPFS Driver","Microsoft Corporation","c:\windows\system32\drivers\npfs.sys","Npfs",4f601bcb8f64ea3ac0994f98fed03f8e,5c19809c0ba8faf28bd30fca584a3c8394a6d2d1,
"HKLM\System\CurrentControlSet\Services","Null",enabled,"Drivers","NULL Driver","Microsoft Corporation","c:\windows\system32\drivers\null.sys","Null",73c1e1f395918bc2c6dd67af7591a3ad,80eb8a76e5579b0136281e4dd4e2d4e56b249e4c,
"HKLM\System\CurrentControlSet\Services","NwlnkFlt",enabled,"Drivers","IPX Traffic Filter Driver","Microsoft Corporation","c:\windows\system32\drivers\nwlnkflt.sys","system32\DRIVERS\nwlnkflt.sys",b305f3fad35083837ef46a0bbce2fc57,99c71139009069eb04e65cab57bd71f3403b101d,
"HKLM\System\CurrentControlSet\Services","NwlnkFwd",enabled,"Drivers","IPX Traffic Forwarder Driver","Microsoft Corporation","c:\windows\system32\drivers\nwlnkfwd.sys","system32\DRIVERS\nwlnkfwd.sys",c99b3415198d1aab7227f2c88fd664b9,4a55d8e1ef7f7a9adb8dd2f21db0f92fc21f7249,
"HKLM\System\CurrentControlSet\Services","Parport",enabled,"Drivers","Parallel Port Driver","Microsoft Corporation","c:\windows\system32\drivers\parport.sys","system32\DRIVERS\parport.sys",29744eb4ce659dfe3b4122deb45bc478,50cffa17ae4ac1f949464a4949cb644ce9e10a5e,
"HKLM\System\CurrentControlSet\Services","PartMgr",enabled,"Drivers","Partition Manager","Microsoft Corporation","c:\windows\system32\drivers\partmgr.sys","PartMgr",3334430c29dc338092f79c38ef7b4cd0,72df26d29b1c3b733b4ea0cd0ca944b4ef72c249,
"HKLM\System\CurrentControlSet\Services","ParVdm",enabled,"Drivers","VDM Parallel Driver","Microsoft Corporation","c:\windows\system32\drivers\parvdm.sys","ParVdm",70e98b3fd8e963a6a46a2e6247e0bea1,b527518cfa5e61b3db09179bea2fa2e0d346828f,
"HKLM\System\CurrentControlSet\Services","PCI",enabled,"Drivers","NT Plug and Play PCI Enumerator","Microsoft Corporation","c:\windows\system32\drivers\pci.sys","system32\DRIVERS\pci.sys",8086d9979234b603ad5bc2f5d890b234,9da7c2ebee0bb32a39a4d602f39f9d7401de10ce,
"HKLM\System\CurrentControlSet\Services","PCIDump",enabled,"Drivers","","","File not found: C:\WINDOWS\System32\Drivers\PCIDump.sys","PCIDump",,,
"HKLM\System\CurrentControlSet\Services","PCnet",enabled,"Drivers","NDIS 5.0 driver","AMD Inc.","c:\windows\system32\drivers\pcntpci5.sys","system32\DRIVERS\pcntpci5.sys",7bc8027d56fab153a987c56ae9835664,d86cfece4d31d8d7d19f847b7b77446bd02295f1,
"HKLM\System\CurrentControlSet\Services","PDCOMP",enabled,"Drivers","","","File not found: C:\WINDOWS\System32\Drivers\PDCOMP.sys","PDCOMP",,,
"HKLM\System\CurrentControlSet\Services","PDFRAME",enabled,"Drivers","","","File not found: C:\WINDOWS\System32\Drivers\PDFRAME.sys","PDFRAME",,,
"HKLM\System\CurrentControlSet\Services","PDRELI",enabled,"Drivers","","","File not found: C:\WINDOWS\System32\Drivers\PDRELI.sys","PDRELI",,,
"HKLM\System\CurrentControlSet\Services","PDRFRAME",enabled,"Drivers","","","File not found: C:\WINDOWS\System32\Drivers\PDRFRAME.sys","PDRFRAME",,,
"HKLM\System\CurrentControlSet\Services","PptpMiniport",enabled,"Drivers","WAN Miniport (PPTP)","Microsoft Corporation","c:\windows\system32\drivers\raspptp.sys","system32\DRIVERS\raspptp.sys",1c5cc65aac0783c344f16353e60b72ac,bfa5eb8887f07784f382d23e629bbf5b3b00254e,
"HKLM\System\CurrentControlSet\Services","PSched",enabled,"Drivers","QoS Packet Scheduler","Microsoft Corporation","c:\windows\system32\drivers\psched.sys","system32\DRIVERS\psched.sys",48671f327553dcf1d27f6197f622a668,ee75eb78be971d57f3621c5911567a850d8aac14,
"HKLM\System\CurrentControlSet\Services","Ptilink",enabled,"Drivers","Direct Parallel Link Driver","Parallel Technologies, Inc.","c:\windows\system32\drivers\ptilink.sys","system32\DRIVERS\ptilink.sys",80d317bd1c3dbc5d4fe7b1678c60cadd,e8c148e71e870965ca452142e55ac89486779d56,
"HKLM\System\CurrentControlSet\Services","RasAcd",enabled,"Drivers","Remote Access Auto Connection Driver","Microsoft Corporation","c:\windows\system32\drivers\rasacd.sys","system32\DRIVERS\rasacd.sys",fe0d99d6f31e4fad8159f690d68ded9c,ab474db29198ea46f5e1c1d60b7aa215660cd563,
"HKLM\System\CurrentControlSet\Services","Rasl2tp",enabled,"Drivers","WAN Miniport (L2TP)","Microsoft Corporation","c:\windows\system32\drivers\rasl2tp.sys","system32\DRIVERS\rasl2tp.sys",98faeb4a4dcf812ba1c6fca4aa3e115c,2f256eefe46db4e2e43ad98f7226d1ee793b4af6,
"HKLM\System\CurrentControlSet\Services","RasPppoe",enabled,"Drivers","Remote Access PPPOE Driver","Microsoft Corporation","c:\windows\system32\drivers\raspppoe.sys","system32\DRIVERS\raspppoe.sys",7306eeed8895454cbed4669be9f79faa,9bac3006849696f619ebd1bd337e78a147e27bbc,
"HKLM\System\CurrentControlSet\Services","Raspti",enabled,"Drivers","Direct Parallel","Microsoft Corporation","c:\windows\system32\drivers\raspti.sys","system32\DRIVERS\raspti.sys",fdbb1d60066fcfbb7452fd8f9829b242,9f85b3c30ff634d23e711cc694750d5d8ad14419,
"HKLM\System\CurrentControlSet\Services","Rdbss",enabled,"Drivers","Rdbss","Microsoft Corporation","c:\windows\system32\drivers\rdbss.sys","system32\DRIVERS\rdbss.sys",29d66245adba878fff574cd66abd2884,20d1081c05f1294caca73e842c3099acacf456cf,
"HKLM\System\CurrentControlSet\Services","RDPCDD",enabled,"Drivers","RDP Miniport","Microsoft Corporation","c:\windows\system32\drivers\rdpcdd.sys","System32\DRIVERS\RDPCDD.sys",4912d5b403614ce99c28420f75353332,dbda3ac341edff01b7c00357b3f0feafeef15470,
"HKLM\System\CurrentControlSet\Services","rdpdr",enabled,"Drivers","Microsoft RDP Device redirector","Microsoft Corporation","c:\windows\system32\drivers\rdpdr.sys","system32\DRIVERS\rdpdr.sys",a2cae2c60bc37e0751ef9dda7ceaf4ad,0ac844aa57078ec7817e0bde54b14faeee46f4ac,
"HKLM\System\CurrentControlSet\Services","RDPWD",enabled,"Drivers","RDP Terminal Stack Driver (US/Canada Only, Not for Export)","Microsoft Corporation","c:\windows\system32\drivers\rdpwd.sys","RDPWD",d4f5643d7714ef499ae9527fdcd50894,91e640d85bc63e702a355765dc9b8a6d3fcca1eb,
"HKLM\System\CurrentControlSet\Services","redbook",enabled,"Drivers","Redbook Audio Filter Driver","Microsoft Corporation","c:\windows\system32\drivers\redbook.sys","system32\DRIVERS\redbook.sys",b31b4588e4086d8d84adbf9845c2402b,a466a835e645163135d78da365d05960fa2cbb19,
"HKLM\System\CurrentControlSet\Services","Secdrv",enabled,"Drivers","SafeDisc driver","","c:\windows\system32\drivers\secdrv.sys","system32\DRIVERS\secdrv.sys",d26e26ea516450af9d072635c60387f4,2a48c3601e07d223fe79f178e310c276e2a62027,
"HKLM\System\CurrentControlSet\Services","serenum",enabled,"Drivers","Serial Port Enumerator","Microsoft Corporation","c:\windows\system32\drivers\serenum.sys","system32\DRIVERS\serenum.sys",a2d868aeeff612e70e213c451a70cafb,20334d2e1dcbc19c9814a6106122860c340fa10b,
"HKLM\System\CurrentControlSet\Services","Serial",enabled,"Drivers","Serial Device Driver","Microsoft Corporation","c:\windows\system32\drivers\serial.sys","system32\DRIVERS\serial.sys",cd9404d115a00d249f70a371b46d5a26,32273de2107668e25e500ba3d9c3f18d85c1855c,
"HKLM\System\CurrentControlSet\Services","Sfloppy",enabled,"Drivers","SCSI Floppy Driver","Microsoft Corporation","c:\windows\system32\drivers\sfloppy.sys","Sfloppy",0d13b6df6e9e101013a7afb0ce629fe0,b7361c48dbe2863e62ff07dece7f13bf9b17a683,
"HKLM\System\CurrentControlSet\Services","sr",enabled,"Drivers","System Restore Filesystem Filter Driver","Microsoft Corporation","c:\windows\system32\drivers\sr.sys","system32\DRIVERS\sr.sys",e41b6d037d6cd08461470af04500dc24,6ca05add925c75e6d021c38fa1515ebc677e3735,
"HKLM\System\CurrentControlSet\Services","Srv",enabled,"Drivers","Srv","Microsoft Corporation","c:\windows\system32\drivers\srv.sys","system32\DRIVERS\srv.sys",20b7e396720353e4117d64d9dcb926ca,c3bc9a6b1377997b647fa967bf8cb406cd905c79,
