SSHOOK-PC,TCP,[::]:26143,[::]:0,LISTENING,4
SSHOOK-PC,TCP,[::1]:1268,[::]:0,LISTENING,4284
SSHOOK-PC,TCP,[::1]:1434,[::]:0,LISTENING,3212
SSHOOK-PC,UDP,0.0.0.0:68,*:*,,1040
SSHOOK-PC,UDP,0.0.0.0:68,*:*,,1040
SSHOOK-PC,UDP,0.0.0.0:123,*:*,,1112
SSHOOK-PC,UDP,0.0.0.0:443,*:*,,6536
SSHOOK-PC,UDP,0.0.0.0:500,*:*,,1164
SSHOOK-PC,UDP,0.0.0.0:1947,*:*,,2852
SSHOOK-PC,UDP,0.0.0.0:3702,*:*,,2572
SSHOOK-PC,UDP,0.0.0.0:3702,*:*,,2572
SSHOOK-PC,UDP,0.0.0.0:4500,*:*,,1164
SSHOOK-PC,UDP,0.0.0.0:5355,*:*,,1496
SSHOOK-PC,UDP,0.0.0.0:15892,*:*,,6536
SSHOOK-PC,UDP,0.0.0.0:22350,*:*,,4668
SSHOOK-PC,UDP,0.0.0.0:50334,*:*,,2572
SSHOOK-PC,UDP,0.0.0.0:50336,*:*,,2852
SSHOOK-PC,UDP,0.0.0.0:53052,*:*,,6428
SSHOOK-PC,UDP,0.0.0.0:53053,*:*,,6428
SSHOOK-PC,UDP,0.0.0.0:57184,*:*,,6536
SSHOOK-PC,UDP,127.0.0.1:1900,*:*,,2572
SSHOOK-PC,UDP,127.0.0.1:48200,*:*,,5520
SSHOOK-PC,UDP,127.0.0.1:52974,*:*,,6428
SSHOOK-PC,UDP,127.0.0.1:53749,*:*,,2572
SSHOOK-PC,UDP,127.0.0.1:57548,*:*,,6428
SSHOOK-PC,UDP,127.0.0.1:62208,*:*,,6536
SSHOOK-PC,UDP,169.254.113.140:137,*:*,,4
SSHOOK-PC,UDP,169.254.113.140:138,*:*,,4
SSHOOK-PC,UDP,169.254.113.140:1900,*:*,,2572
SSHOOK-PC,UDP,192.168.1.164:137,*:*,,4
SSHOOK-PC,UDP,192.168.1.164:138,*:*,,4
SSHOOK-PC,UDP,192.168.1.164:1900,*:*,,2572
SSHOOK-PC,UDP,192.168.159.1:137,*:*,,4
SSHOOK-PC,UDP,192.168.159.1:138,*:*,,4
SSHOOK-PC,UDP,192.168.159.1:1900,*:*,,2572
SSHOOK-PC,UDP,[::]:123,*:*,,1112
SSHOOK-PC,UDP,[::]:500,*:*,,1164
SSHOOK-PC,UDP,[::]:1947,*:*,,2852
SSHOOK-PC,UDP,[::]:3702,*:*,,2572
SSHOOK-PC,UDP,[::]:3702,*:*,,2572
SSHOOK-PC,UDP,[::]:4500,*:*,,1164
SSHOOK-PC,UDP,[::]:5355,*:*,,1496
SSHOOK-PC,UDP,[::]:50335,*:*,,2572
SSHOOK-PC,UDP,[::]:57184,*:*,,6536
SSHOOK-PC,UDP,[::1]:1900,*:*,,2572
SSHOOK-PC,UDP,[::1]:53748,*:*,,2572
SSHOOK-PC,UDP,[fe80::1c8e:e7d3:4717:d634%18]:1900,*:*,,2572
SSHOOK-PC,UDP,[fe80::2cbd:a429:92a4:718c%17]:1900,*:*,,2572
SSHOOK-PC,UDP,[fe80::744c:a5da:d518:bc76%11]:1900,*:*,,2572
