SSHOOK-PC,"/Microsoft/Windows/Media Center/OCURActivate","C:\Windows\ehome\ehPrivJob.exe",c07d5582f2107acab4564e1dae977c64
SSHOOK-PC,"/Microsoft/Windows/Media Center/OCURDiscovery","C:\Windows\ehome\ehPrivJob.exe",c07d5582f2107acab4564e1dae977c64
SSHOOK-PC,"/Microsoft/Windows/Media Center/PBDADiscovery","C:\Windows\ehome\ehPrivJob.exe",c07d5582f2107acab4564e1dae977c64
SSHOOK-PC,"/Microsoft/Windows/Media Center/PBDADiscoveryW1","C:\Windows\ehome\ehPrivJob.exe",c07d5582f2107acab4564e1dae977c64
SSHOOK-PC,"/Microsoft/Windows/Media Center/PBDADiscoveryW2","C:\Windows\ehome\ehPrivJob.exe",c07d5582f2107acab4564e1dae977c64
SSHOOK-PC,"/Microsoft/Windows/Media Center/PeriodicScanRetry","C:\Windows\ehome\MCUpdate.exe",073c37cefeb4d5cd86646171c5d999f2
SSHOOK-PC,"/Microsoft/Windows/Media Center/RegisterSearch","C:\Windows\ehome\ehPrivJob.exe",c07d5582f2107acab4564e1dae977c64
SSHOOK-PC,"/Microsoft/Windows/Media Center/ReindexSearchRoot","C:\Windows\ehome\ehPrivJob.exe",c07d5582f2107acab4564e1dae977c64
SSHOOK-PC,"/Microsoft/Windows/Media Center/UpdateRecordPath","C:\Windows\ehome\ehPrivJob.exe",c07d5582f2107acab4564e1dae977c64
SSHOOK-PC,"/Microsoft/Windows/MUI/LPRemove","C:\Windows\system32\lpremove.exe",e3f30c809b0e3c34588bd336d8090cd2
SSHOOK-PC,"/Microsoft/Windows/NetTrace/GatherNetworkInfo","C:\Windows\system32\gatherNetworkInfo.vbs",2ae808cb0d9a667b0cf41ea74b3b9bac
SSHOOK-PC,"/Microsoft/Windows/Power Efficiency Diagnostics/AnalyzeSystem","C:\Windows\System32\powercfg.exe",f779ee89cd1f679c91ab8848c978f086
SSHOOK-PC,"/Microsoft/Windows/RemoteAssistance/RemoteAssistanceTask","C:\Windows\system32\RAServer.exe",cd0bc0b6b8d219808aea3ecd4e889b19
SSHOOK-PC,"/Microsoft/Windows/RemoteAssistance/RemoteAssistanceTask","C:\Windows\system32\RAServer.exe",cd0bc0b6b8d219808aea3ecd4e889b19
SSHOOK-PC,"/Microsoft/Windows/TabletPC/InputPersonalization","C:\Program Files\Common Files\Microsoft Shared\Ink\InputPersonalization.exe",c7de4414d5f6f9373f913cb86262d512
SSHOOK-PC,"/Microsoft/Windows/TabletPC/InputPersonalization","C:\Program Files\Common Files\Microsoft Shared\Ink\InputPersonalization.exe",c7de4414d5f6f9373f913cb86262d512
SSHOOK-PC,"/Microsoft/Windows/Time Synchronization/SynchronizeTime","C:\Windows\system32\sc.exe",4ebbc2b0ad7f9075ae9d6835d2a62b6e
SSHOOK-PC,"/Microsoft/Windows/Windows Activation Technologies/ValidationTask","C:\Windows\system32\Wat\WatAdminSvc.exe",3cec96de223e49eaae3651fcf8faea6c
SSHOOK-PC,"/Microsoft/Windows/Windows Activation Technologies/ValidationTaskDeadline","C:\Windows\system32\schtasks.exe",97e0ec3d6d99e8cc2b17ef2d3760e8fc
SSHOOK-PC,"/Microsoft/Windows/Windows Error Reporting/QueueReporting","C:\Windows\system32\wermgr.exe",41df7355a5a907e2c1d7804ec028965d
SSHOOK-PC,"/Microsoft/Windows/Windows Media Sharing/UpdateLibrary","C:\Program Files\Windows Media Player\wmpnscfg.exe",6699a112a3bdc9b52338512894eba9d6
SSHOOK-PC,"/Microsoft/Windows/WindowsBackup/ConfigNotification","C:\Windows\System32\sdclt.exe",cdebd55ffbda3889aa2a8ce52b9dc097
SSHOOK-PC,"/MySQL/Installer/ManifestUpdate","c:\program files (x86)\mysql\mysql installer for windows\mysqlinstallerconsole.exe",919ac2e8905dce7b3023ab9824b888e3
SSHOOK-PC,"/OfficeSoftwareProtectionPlatform/SvcRestartTask","C:\Windows\system32\sc.exe",4ebbc2b0ad7f9075ae9d6835d2a62b6e
